legacy_url,new_url,content_type,status,notes
/index.php,/,page,planned-global,Global page conversion is outside this migration.
/news.php,/news/,collection-index,planned-global,Collection content migrated; index page is out of scope.
/group.php,/people/,collection-index,planned-global,37 people entries migrated.
/projects.php,/projects/,collection-index,planned-global,8 project entries migrated.
/publications.php,/publications/,collection-index,planned-global,116 publication rows migrated.
/post.php?id=80,/news/2024-08-27-80-dr-xi-zheng-has-been-invited-to-serve-on-the-technical-program/,news,migrated,Legacy article id 80
/post.php?id=79,/news/2024-08-27-79-congratulations-to-dr-xi-zheng-on-being-awarded-the-prestigious/,news,migrated,Legacy article id 79
/post.php?id=12,/news/2024-02-08-12-congratulations-to-dr-xi-zheng-for-being-an-editor-of-journal-of/,news,migrated,Legacy article id 12
/post.php?id=11,/news/2023-06-17-11-dr-xi-zheng-is-invited-to-serve-on-the-technical-program/,news,migrated,Legacy article id 11
/post.php?id=10,/news/2023-06-17-10-dr-xi-zheng-is-invited-to-serve-on-the-program-committee-of-the/,news,migrated,Legacy article id 10
/post.php?id=9,/news/2022-06-27-9-congratulations-to-dr-xi-zheng-for-being-a-member-of-program/,news,migrated,Legacy article id 9
/post.php?id=8,/news/2022-05-12-8-congratulations-to-dr-xi-zheng-for-becoming-a-track-chair-of-msn/,news,migrated,Legacy article id 8
/post.php?id=7,/news/2022-04-12-7-congratulations-to-dr-zheng-for-becoming-a-program-chair-for/,news,migrated,Legacy article id 7
/post.php?id=6,/news/2022-01-08-6-congratulations-to-dr-zheng-for-becoming-a-program-chair-for/,news,migrated,Legacy article id 6
/post.php?id=5,/news/2022-01-08-5-congratulations-to-dr-zheng-for-becoming-an-associate-editor-for/,news,migrated,Legacy article id 5
/post.php?id=4,/news/2022-01-08-4-media-reports/,news,migrated,Legacy article id 4
/post.php?id=2,/news/2022-01-07-2-congratulations-to-dr-xi-zheng-for-being-a-member-of-program/,news,migrated,Legacy article id 2
/post.php?id=1,/news/2022-01-07-1-congratulations-to-dr-xi-zheng-for-becoming-a-member-of-program/,news,migrated,Legacy article id 1
/post.php?id=3,/news/2022-01-07-3-an-exciting-opportunity-exists-for-a-motivated-and-proactive/,news,migrated,Legacy article id 3
/img/group/Alireza-Jolfaei.jpg,/assets/pic/people/Alireza-Jolfaei.jpg,asset,migrated,copied-original
/img/group/GuannanLou.jpg,/assets/pic/people/GuannanLou.jpg,asset,migrated,copied-original
/img/group/Huai-Liu.jpg,/assets/pic/people/Huai-Liu.jpg,asset,migrated,copied-original
/img/group/JianYang.jpg,/assets/pic/people/JianYang.jpg,asset,migrated,copied-original
/img/group/JiaqiGe.jpg,/assets/pic/people/JiaqiGe.jpg,asset,migrated,copied-original
/img/group/JiongJin.jpg,/assets/pic/people/JiongJin.jpg,asset,migrated,copied-original
/img/group/Jiwei-Guan.jpg,/assets/pic/people/Jiwei-Guan.jpg,asset,migrated,copied-original
/img/group/LeiPan.jpg,/assets/pic/people/LeiPan.jpg,asset,migrated,copied-original
/img/group/Linfeng.JPG,/assets/pic/people/Linfeng.JPG,asset,migrated,copied-original
/img/group/MengshiZhang.jpg,/assets/pic/people/MengshiZhang.jpg,asset,migrated,copied-original
/img/group/RobertAbbas.jpg,/assets/pic/people/RobertAbbas.jpg,asset,migrated,copied-original
/img/group/ShengWen.jpg,/assets/pic/people/ShengWen.jpg,asset,migrated,copied-original
/img/group/TianyiZhang.jpg,/assets/pic/people/TianyiZhang.jpg,asset,migrated,copied-original
/img/group/XiweiXU.jpg,/assets/pic/people/XiweiXU.jpg,asset,migrated,copied-original
/img/group/XuyunZhang.jpg,/assets/pic/people/XuyunZhang.jpg,asset,migrated,copied-original
/img/group/YiHe.jpg,/assets/pic/people/YiHe.jpg,asset,migrated,copied-original
/img/group/Yimeng-Feng.jpg,/assets/pic/people/Yimeng-Feng.jpg,asset,migrated,copied-original
/img/group/Yipeng-Zhou.jpg,/assets/pic/people/Yipeng-Zhou.jpg,asset,migrated,copied-original
